id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,liveness,speechiness,musical_key,time_signature
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,48,1990,bright|feel-good|sunny,0.23,0.28,0.09,F,4
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,61,2010,calm|study|laid-back,0.42,0.51,0.16,A,5
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,1970,driving|power|adrenaline,0.61,0.74,0.23,C#,7
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,87,1990,calm|study|laid-back,0.80,0.20,0.30,F,3
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,100,2010,driving|power|adrenaline,0.08,0.43,0.37,A,4
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,47,1970,calm|study|laid-back,0.27,0.66,0.44,C#,5
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,60,1990,easy|smooth|gentle,0.46,0.12,0.51,F,7
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,73,2010,noir|late-night|brooding,0.65,0.35,0.58,A,3
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,86,1970,study|minimal|steady,0.84,0.58,0.03,C#,4
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,99,1990,bright|feel-good|sunny,0.12,0.81,0.10,F,5
11,Moonlit Prelude,Aria North,classical,serene,0.18,66,0.42,0.12,0.97,46,2010,peaceful|ambient|still,0.31,0.27,0.17,A,7
12,City Cipher,Byte Rhythm,hip hop,energetic,0.86,96,0.63,0.91,0.08,59,1970,workout|fast|hype,0.50,0.50,0.24,C#,3
13,River Lanterns,Delta Roots,folk,nostalgic,0.33,84,0.58,0.47,0.85,72,2000,retro|memory|warm,0.69,0.73,0.31,F,4
14,Neon Horizon,Pulse Theory,edm,euphoric,0.95,128,0.79,0.89,0.04,85,2010,peak|festival|hands-up,0.88,0.19,0.38,A,5
15,Back Alley Brass,Blue Harbor,blues,reflective,0.41,88,0.51,0.39,0.73,98,1980,introspective|lyrical|late-night,0.16,0.42,0.45,C#,7
16,Iron Sky,Black Circuit,metal,dark,0.97,168,0.36,0.72,0.02,45,2000,heavy|ominous|shadow,0.35,0.65,0.52,F,3
17,Summit Dance,Marigold Wave,reggae,warm,0.55,102,0.71,0.68,0.46,58,2010,cozy|organic|golden,0.54,0.11,0.59,A,4
18,Golden Hour Glow,Juniper Soul,soul,uplifting,0.69,112,0.88,0.77,0.24,71,1970,optimistic|inspiring|rise,0.73,0.34,0.04,C#,5
19,Parallel Clouds 019,Amber Cartel,synthwave,nostalgic,0.23,160,0.51,0.25,0.56,84,2000,retro|memory|warm,0.92,0.57,0.11,F,7
20,Velvet Algorithms 020,Neon Echo,edm,happy,0.60,171,0.80,0.56,0.73,97,2010,bright|feel-good|sunny,0.20,0.80,0.18,A,3
21,Subway Aurora 021,Paper Lanterns,rnb,nostalgic,0.97,71,0.35,0.87,0.90,44,1980,retro|memory|warm,0.39,0.26,0.25,C#,4
22,Heatmap Semaphore 022,Slow Stereo,rock,happy,0.56,82,0.64,0.45,0.17,57,1990,bright|feel-good|sunny,0.58,0.49,0.32,F,5
23,Cassette Hearts 023,Byte Rhythm,classical,nostalgic,0.93,93,0.22,0.76,0.34,70,2020,retro|memory|warm,0.77,0.72,0.39,A,7
24,Granite Heartbeat 024,Blue Harbor,metal,happy,0.52,104,0.48,0.34,0.51,83,1970,bright|feel-good|sunny,0.05,0.18,0.46,C#,3
25,Neural Sunrise 025,Juniper Soul,drum and bass,nostalgic,0.89,115,0.77,0.65,0.68,96,2000,retro|memory|warm,0.24,0.41,0.53,F,4
26,Skyline Syntax 026,Fjord Static,jazz,happy,0.48,126,0.32,0.23,0.85,43,2010,bright|feel-good|sunny,0.43,0.64,0.60,A,5
27,Copper Daydream 027,LoRoom,folk,nostalgic,0.85,137,0.61,0.54,0.12,56,1980,retro|memory|warm,0.62,0.10,0.05,C#,7
28,Afterglow Pulse 028,Max Pulse,soul,happy,0.44,148,0.90,0.85,0.29,69,1990,bright|feel-good|sunny,0.81,0.33,0.12,F,3
29,Parallel Clouds 029,Indigo Parade,lofi,nostalgic,0.81,159,0.45,0.43,0.46,82,2020,retro|memory|warm,0.09,0.56,0.19,A,4
30,Velvet Algorithms 030,Delta Roots,indie pop,happy,0.40,170,0.74,0.74,0.63,95,1970,bright|feel-good|sunny,0.28,0.79,0.26,C#,5
31,Subway Aurora 031,Black Circuit,blues,nostalgic,0.77,70,0.29,0.32,0.80,42,2000,retro|memory|warm,0.47,0.25,0.33,F,7
32,Heatmap Semaphore 032,Nova Cast,house,happy,0.36,81,0.58,0.63,0.07,55,2010,bright|feel-good|sunny,0.66,0.48,0.40,A,3
33,Cassette Hearts 033,Luna District,ambient,nostalgic,0.73,92,0.87,0.21,0.24,68,1980,retro|memory|warm,0.85,0.71,0.47,C#,4
34,Granite Heartbeat 034,Voltline,hip hop,happy,0.32,103,0.42,0.52,0.41,81,1990,bright|feel-good|sunny,0.13,0.17,0.54,F,5
35,Neural Sunrise 035,Orbit Bloom,reggae,nostalgic,0.69,114,0.71,0.83,0.58,94,2020,retro|memory|warm,0.32,0.40,0.61,A,7
36,Skyline Syntax 036,Aria North,pop,happy,0.28,125,0.26,0.41,0.75,41,1970,bright|feel-good|sunny,0.51,0.63,0.06,C#,3
37,Copper Daydream 037,Pulse Theory,synthwave,nostalgic,0.65,136,0.55,0.72,0.92,54,2000,retro|memory|warm,0.70,0.09,0.13,F,4
38,Afterglow Pulse 038,Marigold Wave,edm,happy,0.24,147,0.84,0.30,0.19,67,2010,bright|feel-good|sunny,0.89,0.32,0.20,A,5
